Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3399245, 'date_of_service': '2023-11-12', 'service': 'CP98aSCs'}, 'record_id': 26, 'record_count': '27/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3447038, 'date_of_service': '2023-12-19', 'service': 'CP98aSCs'}, 'record_id': 27, 'record_count': '28/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3452731, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 28, 'record_count': '29/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3464842, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 29, 'record_count': '30/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3465253, 'date_of_service': '2023-12-19', 'service': 'CP98aSCs'}, 'record_id': 30, 'record_count': '31/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3473970, 'date_of_service': '2023-10-27', 'service': 'CP98aSCs'}, 'record_id': 31, 'record_count': '32/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3476655, 'date_of_service': '2023-12-08', 'service': 'CP98aSCs'}, 'record_id': 32, 'record_count': '33/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3494724, 'date_of_service': '2023-11-21', 'service': 'CP98aSCs'}, 'record_id': 33, 'record_count': '34/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3506529, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 34, 'record_count': '35/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3510810, 'date_of_service': '2023-12-06', 'service': 'CP98aSCs'}, 'record_id': 35, 'record_count': '36/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3537801, 'date_of_service': '2023-12-09', 'service': 'CP98aSCs'}, 'record_id': 36, 'record_count': '37/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3584204, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 37, 'record_count': '38/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4211674, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 38, 'record_count': '39/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4308684, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 39, 'record_count': '40/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4331114, 'date_of_service': '2023-11-08', 'service': 'CP98aSCs'}, 'record_id': 40, 'record_count': '41/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4420688, 'date_of_service': '2023-11-17', 'service': 'CP98aSCs'}, 'record_id': 41, 'record_count': '42/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4484860, 'date_of_service': '2023-12-08', 'service': 'CP98aSCs'}, 'record_id': 42, 'record_count': '43/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4568758, 'date_of_service': '2023-11-16', 'service': 'CP98aSCs'}, 'record_id': 43, 'record_count': '44/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 4569521, 'date_of_service': '2023-11-23', 'service': 'CP98aSCs'}, 'record_id': 44, 'record_count': '45/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1838952, 'date_of_service': '2023-10-30', 'service': 'CP98aSCs'}, 'record_id': 45, 'record_count': '46/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 1993308, 'date_of_service': '2023-10-30', 'service': 'CP98aSCs'}, 'record_id': 46, 'record_count': '47/68'}
Script Response: {'mis_response': 'Form1A CPIMS Sync', 'cpims_response': {'details': 'Form F1A details saved successfully'}, 'payload': {'cpims_id': 3362208, 'date_of_service': '2023-10-30', 'service': 'CP98aSCs'}, 'record_id': 47, 'record_count': '48/68'}
